lib,Genome,PE,Total_reads,Final_reads,Final_yield,Mito_frac,TSS_enrichment,FRoP
RM_43_1_2,mm10,Paired-ended,177798094,137895556,0.776,0.05,17.34,0.177
RM_43_2,mm10,Paired-ended,166077306,129347044,0.779,0.0498,17.37,0.178
RM_43,mm10,Paired-ended,11720788,9595018,0.819,0.0521,19.55,0.184
RM_44_1_2,mm10,Paired-ended,102112182,79208068,0.776,0.0592,18.22,0.178
RM_44_2,mm10,Paired-ended,90419490,70493770,0.78,0.0591,18.21,0.179
RM_44,mm10,Paired-ended,11692692,9395728,0.804,0.0606,20.18,0.183
RM_45_1_2,mm10,Paired-ended,109021878,85279356,0.782,0.0465,20.35,0.199
RM_45_2,mm10,Paired-ended,97131898,76428886,0.787,0.0463,20.38,0.2
RM_45,mm10,Paired-ended,11889980,9739242,0.819,0.0478,22.67,0.205
RM_46_1_2,mm10,Paired-ended,107111078,80384052,0.75,0.0822,26.47,0.229
RM_46_2,mm10,Paired-ended,93106802,70374364,0.756,0.0819,26.57,0.23
RM_46,mm10,Paired-ended,14004276,11001728,0.786,0.0841,29.66,0.238
RM_47_1_2,mm10,Paired-ended,100924504,79578174,0.788,0.046,19.29,0.188
RM_47_2,mm10,Paired-ended,87378798,69277538,0.793,0.0458,19.31,0.188
RM_47,mm10,Paired-ended,13545706,11019586,0.814,0.0475,21.15,0.195
RM_48_1_2,mm10,Paired-ended,172505540,139111520,0.806,0.0182,15.1,0.159
RM_48_2,mm10,Paired-ended,157091424,127047532,0.809,0.0181,15.13,0.16
RM_48,mm10,Paired-ended,15414116,12790302,0.83,0.0186,16.72,0.165
RM_49,mm10,Paired-ended,13552222,11247456,0.83,0.0341,21.39,0.198
RM_50_1_2,mm10,Paired-ended,201214036,158800748,0.789,0.0278,15.34,0.169
RM_50_2,mm10,Paired-ended,183160568,145152680,0.792,0.0277,15.4,0.169
RM_50,mm10,Paired-ended,18053468,14905130,0.826,0.0285,17.05,0.174
RM_51,mm10,Paired-ended,16289814,13593100,0.834,0.0187,18.42,0.177
RM_52_1_2,mm10,Paired-ended,202222212,161632380,0.799,0.0182,17.47,0.176
RM_52_2,mm10,Paired-ended,184572856,148089346,0.802,0.0182,17.54,0.176
RM_52,mm10,Paired-ended,17649356,14676500,0.832,0.0188,19.66,0.184
RM_53,mm10,Paired-ended,18621470,15460498,0.83,0.024,18,0.173
RM_54_1_2,mm10,Paired-ended,165027260,134179926,0.813,0.0199,16.23,0.178
RM_54_2,mm10,Paired-ended,154641796,126063680,0.815,0.0199,16.24,0.178
RM_54,mm10,Paired-ended,10385464,8702594,0.838,0.0209,18.48,0.185
RM_55,mm10,Paired-ended,1677656,1352888,0.806,0.0301,16.39,0.16
RM_56_1_2,mm10,Paired-ended,209012124,167170806,0.8,0.0249,19.82,0
RM_56_2,mm10,Paired-ended,192098616,154191598,0.803,0.0249,19.9,0.198
RM_56,mm10,Paired-ended,16913508,14091614,0.833,0.0257,22.61,0.207
RM_57,mm10,Paired-ended,27103736,22677262,0.837,0.0263,22.66,0.203
RM_58,mm10,Paired-ended,16084134,13472458,0.838,0.0302,16.79,0.166
RM_59,mm10,Paired-ended,12693856,10389578,0.818,0.0304,15.82,0.154
RM_60,mm10,Paired-ended,10536642,8455990,0.803,0.0532,19.16,0.177
RMM_1,hg38,Paired-ended,15743336,9278854,0.589,0.22,29.17,0.239
RMM_10,hg38,Paired-ended,36929686,12787542,0.346,0.527,24.49,0.237
RMM_102,hg38,Paired-ended,8206762,3279028,0.4,0.000787,8.6,0.238
RMM_103,hg38,Paired-ended,10552582,6876692,0.652,0.000123,1.366,0.0213
RMM_104,hg38,Paired-ended,7415034,3356546,0.453,0.000249,1.328,0.0198
RMM_105,hg38,Paired-ended,20136360,17096994,0.849,3.99e-05,18.21,0.799
RMM_106,hg38,Paired-ended,15096188,9669088,0.64,0.000206,2.188,0.0599
RMM_107,hg38,Paired-ended,11224522,8683502,0.774,2.99e-05,2.747,0.0965
RMM_108,hg38,Paired-ended,5077784,4167316,0.821,0.000571,1.921,0.0267
RMM_109,hg38,Paired-ended,5066604,4156736,0.82,0.000716,1.719,0.0244
RMM_11,hg38,Paired-ended,26734656,9195378,0.344,0.54,27.14,0.295
RMM_110,hg38,Paired-ended,9786728,8036072,0.821,0.000668,1.506,0.0217
RMM_111,hg38,Paired-ended,4447252,3599438,0.809,0.000947,1.42,0.0207
RMM_112,mm10,Paired-ended,7108774,5115892,0.72,0.00312,4.145,0.0521
RMM_113,mm10,Paired-ended,4439966,3233360,0.728,0.00297,4.282,0.0558
RMM_114,mm10,Paired-ended,7231810,5187506,0.717,0.00564,3.468,0.0432
RMM_115,mm10,Paired-ended,7707194,5562100,0.722,0.00551,3.258,0.0407
RMM_116,hg38,Paired-ended,10117084,1618624,0.16,0.00422,1.694,0.0343
RMM_117,hg38,Paired-ended,15907236,9621874,0.605,0.00566,1.683,0.0327
RMM_118,hg38,Paired-ended,14948464,10093572,0.675,0.00699,1.721,0.0331
RMM_119,hg38,Paired-ended,6830594,1335786,0.196,0.00328,1.669,0.0318
RMM_12,mm10,Paired-ended,14757368,7413602,0.502,0.342,32.23,0.231
RMM_120,hg38,Paired-ended,17258648,7143882,0.414,0.00343,1.955,0.0403
RMM_121,hg38,Paired-ended,7399046,1250496,0.169,0.00323,1.629,0.033
RMM_122,hg38,Paired-ended,16300120,3577948,0.22,0.00534,1.542,0.0299
RMM_123,hg38,Paired-ended,16565220,5913670,0.357,0.00576,1.593,0.0305
RMM_124,hg38,Paired-ended,20450600,16807062,0.822,0.000148,12.2,0.683
RMM_125_1_2,hg38,Single-ended,11367268,4255937,0.374,0.00107,1.862,0.129
RMM_125,hg38,Paired-ended,4006296,2446896,0.611,0.00209,1.899,0.11
RMM_126,hg38,Paired-ended,10646372,4194290,0.394,0.0028,2.142,0.141
RMM_127_1_2_3,hg38,Single-ended,36940185,17284006,0.468,6.21e-05,1.987,0.234
RMM_127_1_2,hg38,Single-ended,14667651,9353312,0.638,6.03e-05,1.985,0.243
RMM_127,hg38,Paired-ended,6101906,4773534,0.782,0.000105,2.108,0.252
RMM_128_1_2,hg38,Single-ended,16122994,7968887,0.494,0.000121,2.233,0.228
RMM_128,hg38,Paired-ended,6410178,4561400,0.712,0.000207,2.344,0.22
RMM_129_1_2_3,hg38,Single-ended,45660348,24283867,0.532,0.00023,2.21,0.0996
RMM_129_1_2,hg38,Single-ended,17386844,11501744,0.662,0.000251,2.184,0.102
RMM_129,hg38,Paired-ended,7889750,5652682,0.716,0.000323,2.082,0.0875
RMM_13,mm10,Paired-ended,14289376,7642016,0.535,0.316,33.94,0.251
RMM_130_1_2,hg38,Single-ended,22590891,7451653,0.33,0.000386,2.367,0.11
RMM_130,hg38,Paired-ended,10473752,5467212,0.522,0.000698,2.205,0.0962
RMM_131_1_2,hg38,Single-ended,16063983,7591800,0.473,0.000632,1.963,0.172
RMM_131,hg38,Paired-ended,6666130,4519020,0.678,0.00116,2.019,0.165
RMM_132_1_2,hg38,Single-ended,22326556,5672065,0.254,0.000398,2.103,0.207
RMM_132,hg38,Paired-ended,7583996,3939260,0.519,0.000733,2.226,0.205
RMM_133_1_2,hg38,Single-ended,16772389,8761893,0.522,0.000109,1.922,0.174
RMM_133,hg38,Paired-ended,7138674,4936630,0.692,0.000211,1.959,0.172
RMM_134_1_2,hg38,Single-ended,19258481,7842030,0.407,0.000196,1.996,0.148
RMM_134,hg38,Paired-ended,7735820,4718224,0.61,0.000257,2.028,0.145
RMM_135_1_2,hg38,Single-ended,15879563,6253818,0.394,0.000206,2.04,0.212
RMM_135,hg38,Paired-ended,8591682,4722658,0.55,0.000308,2.177,0.221
RMM_136_1_2,hg38,Single-ended,17523127,7994996,0.456,0.000669,2.069,0.221
RMM_136,hg38,Paired-ended,8127392,5084044,0.626,0.000906,2.187,0.228
RMM_137_1_2,hg38,Single-ended,61957952,38462067,0.621,1e-04,1.474,0.0256
RMM_137,hg38,Paired-ended,17902482,13228906,0.739,0.000122,1.322,0.0221
RMM_138_1_2,hg38,Single-ended,25415500,14437993,0.568,3.38e-05,1.995,0.169
RMM_138,hg38,Paired-ended,11084498,8058892,0.727,5.06e-05,2.029,0.172
RMM_139,hg38,Paired-ended,14340844,2761756,0.193,0.00168,2.435,0.116
RMM_14,mm10,Paired-ended,30738722,15572066,0.507,0.333,31.56,0.231
RMM_140_1_2,hg38,Single-ended,31522635,7403213,0.235,0.000604,1.801,0.187
RMM_140,hg38,Paired-ended,12332992,6173960,0.501,0.000766,1.835,0.196
RMM_141,hg38,Paired-ended,17030852,4896566,0.288,0.0029,2.049,0.163
RMM_142_1_2,hg38,Single-ended,32485461,9402110,0.289,0.00032,2.019,0.186
RMM_142,hg38,Paired-ended,12786664,6975100,0.545,0.000395,2.125,0.199
RMM_143_1_2,hg38,Single-ended,39761988,9757729,0.245,0.000946,2.157,0.176
RMM_143,hg38,Paired-ended,16532248,8072176,0.488,0.00113,2.288,0.184
RMM_144,hg38,Paired-ended,15558366,5625838,0.362,0.00036,2.31,0.207
RMM_145_1_2,hg38,Single-ended,28398976,11822626,0.416,0.000448,1.895,0.0812
RMM_145,hg38,Paired-ended,11769978,6892596,0.586,0.000493,1.942,0.083
RMM_146,hg38,Paired-ended,10089140,3277070,0.325,0.000189,2.269,0.229
RMM_147_1_2,hg38,Single-ended,30586978,6861512,0.224,8.75e-05,1.952,0.147
RMM_147,hg38,Paired-ended,11208176,5350486,0.477,0.000102,1.991,0.149
RMM_148_1_2,hg38,Single-ended,37719749,9872576,0.262,9.23e-05,1.801,0.144
RMM_148,hg38,Paired-ended,14903720,7513082,0.504,0.000109,1.86,0.15
RMM_149_1_2,hg38,Single-ended,35613699,15385101,0.432,0.000135,1.852,0.148
RMM_149,hg38,Paired-ended,15648312,10174288,0.65,0.000164,1.926,0.16
RMM_15,mm10,Paired-ended,25305544,12398894,0.49,0.335,24.88,0.172
RMM_150,hg38,Paired-ended,9958446,2634918,0.265,8.43e-05,2.14,0.197
RMM_151,hg38,Paired-ended,12894612,4575806,0.355,0.000949,2.21,0.179
RMM_152_1_2,hg38,Single-ended,41397327,16774402,0.405,0.00022,1.868,0.132
RMM_152,hg38,Paired-ended,17053788,10726458,0.629,0.000245,1.947,0.14
RMM_153_1_2,hg38,Single-ended,49390556,12124017,0.245,0.000243,1.922,0.123
RMM_153,hg38,Paired-ended,21229920,10117252,0.477,0.000293,1.996,0.129
RMM_154_1_2_3,hg38,Single-ended,41260729,26330089,0.638,0.000145,1.725,0.0814
RMM_154_1_2,hg38,Single-ended,32957622,22641059,0.687,0.000154,1.677,0.0779
RMM_154,hg38,Paired-ended,13308206,10347868,0.778,0.000193,1.729,0.0838
RMM_155_1_2,hg38,Single-ended,44868257,27701874,0.617,0.000138,1.658,0.0418
RMM_155,hg38,Paired-ended,19057426,13985618,0.734,0.000164,1.696,0.0431
RMM_156,hg38,Paired-ended,11884918,8863770,0.746,0.000101,6.996,0.18
RMM_157,hg38,Paired-ended,12784256,9889494,0.774,0.000212,6.559,0.172
RMM_158,hg38,Paired-ended,14419486,10837114,0.752,4.27e-05,5.958,0.144
RMM_159,hg38,Paired-ended,5076330,3099776,0.611,0.00685,1.391,0.017
RMM_16,mm10,Paired-ended,17896348,9809796,0.548,0.287,26.89,0.195
RMM_160,hg38,Single-ended,17559603,14762000,0.841,3.57e-05,1.988,0.0272
RMM_161,hg38,Single-ended,50794220,35931658,0.707,0.000537,4.124,0.0655
RMM_162_1_2,hg38,Single-ended,29698361,20197084,0.68,6.17e-05,7.57,0.131
RMM_162_2,hg38,Single-ended,4175397,2971311,0.712,5.79e-05,11.4,0.186
RMM_162,hg38,Single-ended,25522964,18088422,0.709,6.23e-05,7.228,0.126
RMM_163_1_2,hg38,Single-ended,30669077,20295198,0.662,7.99e-05,7.098,0.121
RMM_163_2,hg38,Single-ended,3704758,2577259,0.696,6.66e-05,10.79,0.172
RMM_163,hg38,Single-ended,26964319,18525862,0.687,8.17e-05,6.781,0.117
RMM_164_1_2,hg38,Single-ended,25576053,17979556,0.703,6.42e-05,6.109,0.119
RMM_164_2,hg38,Single-ended,4562607,2676480,0.587,5.19e-05,9.214,0.168
RMM_164,hg38,Single-ended,21013446,15765511,0.75,6.69e-05,5.704,0.113
RMM_165_1_2,hg38,Single-ended,38171232,20584382,0.539,0.00018,8.128,0.191
RMM_165_2,hg38,Single-ended,5353754,3835658,0.716,0.000148,11.71,0.258
RMM_165,hg38,Single-ended,32817478,18850793,0.574,0.000185,7.852,0.186
RMM_166_1_2,hg38,Single-ended,27890360,19969437,0.716,8.34e-05,5.773,0.0975
RMM_166_2,hg38,Single-ended,3505903,1865164,0.532,6.54e-05,8.733,0.145
RMM_166,hg38,Single-ended,24384457,18381136,0.754,8.59e-05,5.554,0.0942
RMM_167_1_2,hg38,Single-ended,27533589,20697032,0.752,0.000111,7.305,0.163
RMM_167_2,hg38,Single-ended,2803771,2060199,0.735,9.1e-05,11.04,0.232
RMM_167,hg38,Single-ended,24729818,19036691,0.77,0.000113,7.105,0.159
RMM_168_1_2,hg38,Single-ended,23092469,17693324,0.766,4.22e-05,7.627,0.172
RMM_168_2,hg38,Single-ended,4463915,3180461,0.712,4.13e-05,10.76,0.237
RMM_168,hg38,Single-ended,18628554,14935347,0.802,4.24e-05,7.226,0.164
RMM_169_1_2,hg38,Single-ended,30810412,22792752,0.74,6.13e-05,6.077,0.138
RMM_169_2,hg38,Single-ended,1886011,1412648,0.749,4.83e-05,9.534,0.197
RMM_169,hg38,Single-ended,28924401,21704540,0.75,6.22e-05,5.932,0.136
RMM_17,hg38,Paired-ended,5749692,893240,0.155,0.746,28.45,0.238
RMM_170_1_2,hg38,Single-ended,37788377,12137805,0.321,0.00036,10.12,0.232
RMM_170_2,hg38,Single-ended,3929022,2209498,0.562,0.000272,13.44,0.288
RMM_170,hg38,Single-ended,33859355,11690571,0.345,0.000371,9.914,0.229
RMM_171_1_2,hg38,Single-ended,20517838,17067718,0.832,3.38e-05,4.094,0.0674
RMM_171_2,hg38,Single-ended,2649663,2073120,0.782,4.09e-05,6.292,0.0994
RMM_171,hg38,Single-ended,17868175,15065464,0.843,3.28e-05,3.819,0.0637
RMM_172_1_2,hg38,Single-ended,31486125,20698259,0.657,0.00013,6.347,0.127
RMM_172_2,hg38,Single-ended,3609153,2316636,0.642,0.000101,9.425,0.178
RMM_172,hg38,Single-ended,27876972,19109652,0.685,0.000133,6.157,0.124
RMM_173_1_2,hg38,Single-ended,24105418,18375719,0.762,0.000221,5.795,0.11
RMM_173_2,hg38,Single-ended,3931854,2694536,0.685,0.000185,8.389,0.151
RMM_173,hg38,Single-ended,20173564,15937723,0.79,0.000228,5.521,0.106
RMM_174_1_2,hg38,Single-ended,37396486,11825165,0.316,0.000733,7.065,0.124
RMM_174_2,hg38,Single-ended,6965357,2231849,0.32,0.000333,9.218,0.155
RMM_174,hg38,Single-ended,30431129,11113178,0.365,0.000824,6.8,0.121
RMM_175,hg38,Single-ended,30994343,19366117,0.625,7.33e-05,6.578,0.178
RMM_176,hg38,Paired-ended,6637904,5648370,0.851,1.88e-05,1.763,0.0256
RMM_177_1_2,hg38,Single-ended,22590774,18039103,0.799,0.000114,4.113,0.0715
RMM_177_2,hg38,Single-ended,9568062,7410491,0.775,0.000108,4.906,0.0858
RMM_177,hg38,Paired-ended,13351604,11084878,0.83,0.000131,3.703,0.064
RMM_178_1_2,hg38,Single-ended,19237617,13935394,0.724,6.43e-05,5.81,0.106
RMM_178,hg38,Paired-ended,5643126,4588354,0.813,7.59e-05,5.883,0.106
RMM_179_1_2,hg38,Single-ended,18768336,13825626,0.737,9.1e-05,5.314,0.0859
RMM_179_2,hg38,Single-ended,7880383,5493135,0.697,8.63e-05,6.792,0.105
RMM_179,hg38,Paired-ended,11127742,9058268,0.814,0.000102,4.673,0.078
RMM_18,hg38,Paired-ended,17181782,3535040,0.206,0.685,28.29,0.267
RMM_180_1_2,hg38,Single-ended,16389637,12150731,0.741,0.000102,4.601,0.0898
RMM_180_2,hg38,Single-ended,7085988,5153225,0.727,1e-04,5.244,0.106
RMM_180,hg38,Paired-ended,9499056,7637590,0.804,0.000114,4.347,0.0817
RMM_181_1_2,hg38,Single-ended,19734306,14586174,0.739,8.77e-05,4.719,0.123
RMM_181,hg38,Paired-ended,7713182,6415648,0.832,0.000104,4.545,0.119
RMM_182_1_2,hg38,Single-ended,20763039,15533680,0.748,6.64e-05,5.181,0.0901
RMM_182,hg38,Paired-ended,7968372,6570130,0.825,7.4e-05,4.811,0.0857
RMM_183_1_2,hg38,Single-ended,28770238,22546893,0.784,0.000132,7.345,0.145
RMM_183,hg38,Paired-ended,13712406,11528974,0.841,0.000147,7.194,0.143
RMM_184_1_2,hg38,Single-ended,20384916,16412367,0.805,4.18e-05,5.687,0.125
RMM_184,hg38,Paired-ended,8056220,6897240,0.856,4.55e-05,5.584,0.122
RMM_185_1_2,hg38,Single-ended,29189933,21043694,0.721,0.000152,7.68,0.184
RMM_185,hg38,Paired-ended,10412854,8639780,0.83,0.000167,7.553,0.183
RMM_186_1_2,hg38,Single-ended,12905067,10560229,0.818,6.12e-05,6.446,0.19
RMM_186,hg38,Paired-ended,4360058,3783042,0.868,8.49e-05,6.724,0.192
RMM_187_1_2,hg38,Single-ended,18996676,15183581,0.799,5.75e-05,4.984,0.0821
RMM_187,hg38,Paired-ended,7302278,6199258,0.849,6.85e-05,4.714,0.0779
RMM_188_1_2,hg38,Single-ended,18407891,14119160,0.767,0.00011,5.73,0.108
RMM_188,hg38,Paired-ended,7691484,6386080,0.83,0.000128,5.615,0.105
RMM_189_1_2,hg38,Single-ended,17982263,13293051,0.739,0.00013,4.785,0.0959
RMM_189,hg38,Paired-ended,6370656,5222082,0.82,0.000147,4.594,0.0917
RMM_19,hg38,Paired-ended,15809994,4309724,0.273,0.607,26.41,0.273
RMM_190_1_2,hg38,Single-ended,35370748,16911498,0.478,0.000396,5.073,0.101
RMM_190,hg38,Paired-ended,12439046,8361700,0.672,0.000545,4.818,0.0991
RMM_191,hg38,Paired-ended,12822446,10800008,0.842,8.11e-05,5.946,0.167
RMM_2,mm10,Paired-ended,248936,179228,0.72,0.275,30.88,0.28
RMM_20,hg38,Paired-ended,19327284,5983306,0.31,0.564,24.49,0.253
RMM_21,hg38,Paired-ended,40084348,11513932,0.287,0.589,22.22,0.211
RMM_22,mm10,Paired-ended,3942890,2422864,0.614,0.168,16.23,0.0979
RMM_23,mm10,Paired-ended,2916042,1762920,0.605,0.169,9.784,0.0685
RMM_24,mm10,Paired-ended,4696156,3048508,0.649,0.143,18.95,0.119
RMM_25,mm10,Paired-ended,8852282,5588248,0.631,0.147,15.06,0.0887
RMM_26,mm10,Paired-ended,12241792,7004166,0.572,0.209,16.42,0.1
RMM_27,mm10,Paired-ended,15217172,8482594,0.557,0.226,17.33,0.101
RMM_3,mm10,Paired-ended,7323384,4134202,0.565,0.269,29.77,0.245
RMM_4,mm10,Paired-ended,37943484,22644506,0.597,0.216,21.79,0.201
RMM_5,mm10,Paired-ended,16437304,9736592,0.592,0.228,18.09,0.172
RMM_6,mm10,Paired-ended,5726178,3634486,0.635,0.188,18.18,0.17
RMM_61,hg38,Paired-ended,8896036,3081016,0.346,0.111,38.59,0.343
RMM_62,hg38,Paired-ended,8715438,4452322,0.511,0.204,35.03,0.302
RMM_63,hg38,Paired-ended,7029244,2709068,0.385,0.38,28.88,0.248
RMM_64,hg38,Paired-ended,1433468,532618,0.372,0.225,38.78,0.32
RMM_65,hg38,Paired-ended,8085722,2933982,0.363,0.257,37.6,0.398
RMM_66,hg38,Paired-ended,7655592,1128854,0.147,0.351,34.18,0.375
RMM_67,hg38,Paired-ended,8866102,2940316,0.332,0.287,35.28,0.361
RMM_68,hg38,Paired-ended,6729742,2603434,0.387,0.383,33.62,0.295
RMM_69_1_2,hg38,Paired-ended,100054396,45813390,0.458,0.39,24.5,0.253
RMM_69,hg38,Paired-ended,5291980,2541350,0.48,0.391,23.14,0.229
RMM_7,hg38,Paired-ended,23165280,13116772,0.566,0.252,25.71,0.211
RMM_70_1_2,hg38,Paired-ended,178651592,83229894,0.466,0.381,28.35,0.268
RMM_70,hg38,Paired-ended,9910304,5038326,0.508,0.378,27.92,0.252
RMM_71_1_2,hg38,Paired-ended,100209066,50286036,0.502,0.344,32.61,0.349
RMM_71,hg38,Paired-ended,5595980,2950382,0.527,0.349,32.1,0.334
RMM_72_1_2,hg38,Paired-ended,161381998,82516992,0.511,0.313,37.08,0.382
RMM_72,hg38,Paired-ended,7295040,4181536,0.573,0.303,38.41,0.37
RMM_74_1_2,hg38,Paired-ended,124924888,41374974,0.331,0.534,24.9,0.288
RMM_74_2,hg38,Paired-ended,111889872,37401780,0.334,0.531,25.15,0.291
RMM_74,hg38,Paired-ended,13035016,4307928,0.33,0.556,26.75,0.262
RMM_75_1_2,hg38,Paired-ended,159875022,50482568,0.316,0.548,24.45,0.273
RMM_75_2,hg38,Paired-ended,146161408,46483584,0.318,0.547,24.62,0.276
RMM_75,hg38,Paired-ended,13713614,4377928,0.319,0.567,26.96,0.251
RMM_76,hg38,Paired-ended,15063910,3155336,0.209,0.489,36.11,0.363
RMM_77,hg38,Paired-ended,15257508,4781682,0.313,0.487,34.8,0.372
RMM_78_1_2,hg38,Paired-ended,160520674,57797328,0.36,0.47,27.13,0.412
RMM_78_2,hg38,Paired-ended,145651702,53009608,0.364,0.467,27.37,0.416
RMM_78,hg38,Paired-ended,14868972,5504210,0.37,0.497,30.1,0.384
RMM_79_1_2,hg38,Paired-ended,144426842,46867122,0.325,0.529,25.39,0.359
RMM_79_2,hg38,Paired-ended,130621824,42780126,0.328,0.527,25.63,0.363
RMM_79,hg38,Paired-ended,13805018,4502506,0.326,0.552,27.66,0.335
RMM_8,hg38,Paired-ended,29299854,9733840,0.332,0.548,27.63,0.28
RMM_80_1_2,hg38,Paired-ended,141511002,45655176,0.323,0.539,29.36,0.335
RMM_80_2,hg38,Paired-ended,131038522,42568726,0.325,0.537,29.48,0.337
RMM_80,hg38,Paired-ended,10472480,3447256,0.329,0.557,32.87,0.314
RMM_81_1_2,hg38,Paired-ended,119061592,40509442,0.34,0.528,28.68,0.339
RMM_81_2,hg38,Paired-ended,105915856,36432860,0.344,0.525,28.94,0.344
RMM_81,hg38,Paired-ended,13145736,4383830,0.333,0.556,31.35,0.31
RMM_87,hg38,Paired-ended,48842924,23595144,0.483,0.00161,4.886,0.123
RMM_88,hg38,Paired-ended,11618974,7601306,0.654,0.00119,3.447,0.0704
RMM_89,hg38,Paired-ended,9768118,6074832,0.622,0.00123,2.832,0.0376
RMM_9,hg38,Paired-ended,30746442,11077914,0.36,0.516,26.84,0.286
RMM_90,hg38,Paired-ended,1306,308,0.236,0.148,,0.0812
SH-A1-4-1,hg19,Paired-ended,120139110,60033312,0.5,0.326,41.51,0.439
SH-A1-4-2,hg19,Paired-ended,115856986,59104646,0.51,0.314,41.15,0.438
SH-A1-6-1,hg19,Paired-ended,115518476,48121986,0.417,0.423,39.59,0.407
SH-A1-6-2,hg19,Paired-ended,99751602,42320890,0.424,0.424,39.88,0.41
SP245,hg38,Paired-ended,100707560,33572382,0.333,0.368,30.84,0.333
SP245,hg38,Paired-ended,100707560,33572382,0.333,0.368,30.84,0.333
SP246,hg38,Paired-ended,90675376,32052448,0.353,0.377,28.37,0.329
SP246,hg38,Paired-ended,90675376,32052448,0.353,0.377,28.37,0.329
SP247,hg38,Paired-ended,109656954,37897714,0.346,0.484,36.72,0.378
SP247,hg38,Paired-ended,109656954,37897714,0.346,0.484,36.72,0.378
SP248,hg38,Paired-ended,103637816,46232348,0.446,0.3,24.72,0.242
SP248,hg38,Paired-ended,103637816,46232348,0.446,0.3,24.72,0.242
SP249,hg38,Paired-ended,104932150,17913746,0.171,0.71,37.66,0.285
SP249,hg38,Paired-ended,104932150,17913746,0.171,0.71,37.66,0.285
SP268,hg38,Paired-ended,158816132,40830152,0.257,0.459,29.47,0.38
SP268,hg38,Paired-ended,158816132,40830152,0.257,0.459,29.47,0.38
SP269,hg38,Paired-ended,151800034,45662630,0.301,0.38,29.75,0.37
SP269,hg38,Paired-ended,151800034,45662630,0.301,0.38,29.75,0.37
SP270,hg38,Paired-ended,179312990,51047256,0.285,0.394,36.76,0.42
SP270,hg38,Paired-ended,179312990,51047256,0.285,0.394,36.76,0.42
SP271,hg38,Paired-ended,56835974,21806724,0.384,0.465,41.03,0.348
SP271,hg38,Paired-ended,56835974,21806724,0.384,0.465,41.03,0.348
SP275,hg38,Paired-ended,46178402,10025550,0.217,0.664,36.87,0.262
SP275,hg38,Paired-ended,46178402,10025550,0.217,0.664,36.87,0.262
SP280,hg38,Paired-ended,65544102,42012616,0.641,0.169,24.84,0.273
SP280,hg38,Paired-ended,65544102,42012616,0.641,0.169,24.84,0.273
SP281,hg38,Paired-ended,82179934,40815706,0.497,0.346,34.78,0.384
SP281,hg38,Paired-ended,82179934,40815706,0.497,0.346,34.78,0.384
SP282,hg38,Paired-ended,74019906,43234916,0.584,0.243,27.57,0.343
SP282,hg38,Paired-ended,74019906,43234916,0.584,0.243,27.57,0.343
SP283,hg38,Paired-ended,71055746,38958010,0.548,0.287,41.49,0.446
SP283,hg38,Paired-ended,71055746,38958010,0.548,0.287,41.49,0.446
SP284,hg38,Paired-ended,69956920,34129176,0.488,0.353,40.62,0.379
SP284,hg38,Paired-ended,69956920,34129176,0.488,0.353,40.62,0.379
SP285,hg38,Paired-ended,78146302,21625156,0.277,0.625,37.56,0.328
SP286,hg38,Paired-ended,15146660,10955370,0.723,0.0566,17.33,0.198
SP287,hg38,Paired-ended,30640592,21365596,0.697,0.118,27.03,0.24
SP288,hg38,Paired-ended,36803040,23230236,0.631,0.207,26.38,0.223
SRC_1625,mm10,Paired-ended,30643316,8512328,0.278,0.00744,1.367,0.0151
SRC_1626,mm10,Paired-ended,35100792,24885326,0.709,0.00959,1.342,0.0169
SRC1567,hg38,Single-ended,36744802,27085799,0.737,0.0105,2.208,0.0356
SRC1568,hg38,Single-ended,34729184,26531110,0.764,0.0105,2.32,0.0348
SRC1569,hg38,Single-ended,36810392,24912753,0.677,0.0143,2.444,0.0414
SRC1570,hg38,Single-ended,25237027,16077696,0.637,0.00227,2.366,0.0325
SRC1571,hg38,Single-ended,20293214,12249148,0.604,0.00179,5.478,0.0783
SRC1572,hg38,Single-ended,26648395,16403667,0.616,0.00393,7.595,0.11
SRC1573,hg38,Single-ended,29132754,19399427,0.666,0.00228,8.312,0.121
SRC1574,hg38,Single-ended,25634354,15739334,0.614,0.00166,5.8,0.084
SRC1575,hg38,Single-ended,31844576,17676657,0.555,0.00125,5.089,0.0705
SRC1576,mm10,Single-ended,36032267,500103,0.0139,0.000196,4.291,0.137
SRC1577,mm10,Single-ended,40137699,24977134,0.622,0.00195,6.434,0.088
SRC1578,mm10,Single-ended,24056510,3661888,0.152,0.00163,1.508,0.0175
SRC1579,mm10,Single-ended,3547145,2173491,0.613,0.00107,1.448,0.0156
SRC1580,mm10,Single-ended,46902900,23563690,0.502,0.00151,1.787,0.0271
SRC1581,mm10,Single-ended,43468753,21291395,0.49,0.00244,2.082,0.0271
SRC1582,mm10,Single-ended,28041604,23448828,0.836,0.000166,1.888,0.0672
SRC1583,mm10,Single-ended,61829334,37097221,0.6,0.000221,15.16,0.449
SRC1584,mm10,Single-ended,33096275,16963868,0.513,0.000673,9.936,0.175
SRC1585,mm10,Single-ended,60118632,44975539,0.748,0.000196,6.874,0.152
SRC1586,mm10,Single-ended,46874346,28216374,0.602,0.000236,1.485,0.0118
SRC1587,mm10,Single-ended,24742253,13110553,0.53,0.000459,1.386,0.011
