lib,Genome,PE,Total_reads,Final_reads,Final_yield,Mito_frac,TSS_enrichment,FRoP
JYH_749,hg38,Paired-ended,11938392,9675398,0.81,0.0396,23.53,0.271
JYH_75,hg38,Paired-ended,39465396,14698652,0.372,0.466,10.91,0.117
JYH_750,hg38,Paired-ended,11514030,9058982,0.787,0.0603,22.73,0.276
JYH_751,hg38,Paired-ended,7007366,5478850,0.782,0.0478,23.67,0.293
JYH_752,hg38,Paired-ended,10405820,7692648,0.739,0.107,27.5,0.288
JYH_753,hg38,Paired-ended,11512482,8609816,0.748,0.102,25.54,0.291
JYH_754,hg38,Paired-ended,10780848,8300086,0.77,0.0818,25.88,0.309
JYH_755,hg38,Paired-ended,6756738,4728132,0.7,0.136,27.49,0.288
JYH_756,hg38,Paired-ended,11219540,9124276,0.813,0.0181,22.52,0.196
JYH_757,hg38,Paired-ended,11436866,9292336,0.812,0.0156,21.29,0.184
JYH_758_1_2,mm10,Paired-ended,110867606,54937064,0.496,0.344,27.87,0.223
JYH_758,mm10,Paired-ended,10425822,5309680,0.509,0.359,34.91,0.24
JYH_759,mm10,Paired-ended,12273954,4927152,0.401,0.404,9.13,0.0641
JYH_76,hg38,Paired-ended,27197038,12484052,0.459,0.392,10.47,0.131
JYH_760,mm10,Paired-ended,10735500,5414018,0.504,0.337,7.025,0.0841
JYH_761,mm10,Paired-ended,13299050,6032962,0.454,0.364,9.9,0.0714
JYH_762_1_2,mm10,Paired-ended,68346330,52203908,0.764,0.00939,25.59,0.142
JYH_762_2,mm10,Paired-ended,56939402,43536864,0.765,0.00907,27.73,0.143
JYH_762,mm10,Paired-ended,11406928,9203004,0.807,0.0109,31.95,0.149
JYH_763_1_2,mm10,Paired-ended,71440936,52065020,0.729,0.0075,18.77,0.0972
JYH_763_2,mm10,Paired-ended,60835926,44438914,0.73,0.00728,20.33,0.0971
JYH_763,mm10,Paired-ended,10605010,8221064,0.775,0.00875,23.8,0.102
JYH_764_1_2,mm10,Paired-ended,65903580,49408982,0.75,0.0149,27.28,0.148
JYH_764_2,mm10,Paired-ended,56741932,42631532,0.751,0.0144,29.67,0.149
JYH_764,mm10,Paired-ended,9161648,7245012,0.791,0.018,34.32,0.154
JYH_765_1_2,mm10,Paired-ended,75420076,56024764,0.743,0.0137,26.58,0.144
JYH_765_2,mm10,Paired-ended,63324990,47066030,0.743,0.0133,28.72,0.144
JYH_765,mm10,Paired-ended,12095086,9510828,0.786,0.0158,34.31,0.154
JYH_766_1_2,mm10,Paired-ended,65406982,49282042,0.753,0.00861,27.66,0.148
JYH_766_2,mm10,Paired-ended,55021968,41532846,0.755,0.00835,29.81,0.148
JYH_766,mm10,Paired-ended,10385014,8236350,0.793,0.00999,35.39,0.156
JYH_767_1_2,mm10,Paired-ended,61052484,45365548,0.743,0.00966,20.41,0.105
JYH_767_2,mm10,Paired-ended,50687690,37709014,0.744,0.00934,21.99,0.105
JYH_767,mm10,Paired-ended,10364794,8069260,0.779,0.0113,26.14,0.11
JYH_768_1_2,mm10,Paired-ended,58074710,43398952,0.747,0.012,27.32,0.148
JYH_768_2,mm10,Paired-ended,48155932,36050616,0.749,0.0116,29.53,0.149
JYH_768,mm10,Paired-ended,9918778,7837858,0.79,0.014,33.96,0.154
JYH_769_1_2,mm10,Paired-ended,64269646,47548932,0.74,0.0118,24.87,0.132
JYH_769_2,mm10,Paired-ended,54787700,40617132,0.741,0.0114,26.66,0.131
JYH_769,mm10,Paired-ended,9481946,7397852,0.78,0.0137,33.39,0.144
JYH_77,hg38,Paired-ended,31032262,10033384,0.323,0.541,34.68,0.304
JYH_770_1_2,mm10,Paired-ended,79524226,59564168,0.749,0.0101,16.44,0.0852
JYH_770_2,mm10,Paired-ended,65935098,49456322,0.75,0.00989,18.17,0.0863
JYH_770,mm10,Paired-ended,13589128,10760010,0.792,0.011,18.19,0.0832
JYH_771_1_2,mm10,Paired-ended,77851550,59589926,0.765,0.0124,23.26,0.13
JYH_771_2,mm10,Paired-ended,66997398,51339770,0.766,0.0121,25.47,0.131
JYH_771,mm10,Paired-ended,10854152,8799986,0.811,0.0143,28.58,0.135
JYH_772_1_2,mm10,Paired-ended,74614598,56813016,0.761,0.0153,20.32,0.107
JYH_772_2,mm10,Paired-ended,62662656,47742486,0.762,0.0149,22.42,0.109
JYH_772,mm10,Paired-ended,11951942,9522888,0.797,0.0177,22.64,0.106
JYH_773_1_2,mm10,Paired-ended,73054226,57067456,0.781,0.0109,23.85,0.136
JYH_773_2,mm10,Paired-ended,61478504,48066926,0.782,0.0106,25.96,0.136
JYH_774,hg38,Paired-ended,253517596,10664842,0.0421,0.0774,32.5,0.25
JYH_775_1_2,hg38,Paired-ended,188380018,75732212,0.402,0.069,15.48,0.156
JYH_775_2,hg38,Paired-ended,62047786,36666366,0.591,0.0689,15.94,0.156
JYH_775,hg38,Paired-ended,126332232,60842434,0.482,0.069,15.58,0.155
JYH_776_1_2,hg38,Paired-ended,181415104,70117592,0.387,0.0768,19.13,0.252
JYH_776_2,hg38,Paired-ended,59847066,34139432,0.57,0.0768,19.88,0.254
JYH_776,hg38,Paired-ended,121568038,56277760,0.463,0.0768,19.33,0.252
